item_id,attribute_id,value,partition_date
1,1,Black,2025-02-01
1,3,251g,2025-02-01
1,2,Mid-range,2025-02-01
2,1,Brown,2025-02-01
2,3,150g,2025-02-01
2,2,Premium,2025-02-01
3,1,Blue,2025-02-01
3,3,500g,2025-02-01
3,2,Mid-range,2025-02-01
4,1,Black,2025-02-01
4,3,100g,2025-02-01
4,2,Budget,2025-02-01
5,1,White,2025-02-01
5,3,200g,2025-02-01
5,2,Mid-range,2025-02-01
6,1,Silver,2025-02-01
6,3,800g,2025-02-01
6,2,Premium,2025-02-01
7,1,Black,2025-02-01
7,3,1200g,2025-02-01
7,2,Premium,2025-02-01
8,1,Black,2025-02-01
8,3,300g,2025-02-01
8,2,Mid-range,2025-02-01
9,1,Black,2025-02-01
9,3,400g,2025-02-01
9,2,Mid-range,2025-02-01
10,1,Black,2025-02-01
10,3,120g,2025-02-01
10,2,Premium,2025-02-01
11,1,Black,2025-02-01
11,3,2000g,2025-02-01
11,2,Premium,2025-02-01
12,1,Black,2025-02-01
12,3,50g,2025-02-01
12,2,Mid-range,2025-02-01
13,1,Black,2025-02-01
13,3,300g,2025-02-01
13,2,Mid-range,2025-02-01
14,1,White,2025-02-01
14,3,800g,2025-02-01
14,2,Mid-range,2025-02-01
15,1,Silver,2025-02-01
15,3,100g,2025-02-01
15,2,Premium,2025-02-01
16,1,Black,2025-02-01
16,3,50g,2025-02-01
16,2,Mid-range,2025-02-01
17,1,Black,2025-02-01
17,3,200g,2025-02-01
17,2,Mid-range,2025-02-01
18,1,Black,2025-02-01
18,3,15000g,2025-02-01
18,2,Premium,2025-02-01
19,1,White,2025-02-01
19,3,500g,2025-02-01
19,2,Mid-range,2025-02-01
20,1,Silver,2025-02-01
20,3,200g,2025-02-01
20,2,Budget,2025-02-01
