item_id,attribute_id,value,partition_date
1,1,Black,2025-02-08
1,3,257g,2025-02-08
1,2,Mid-range,2025-02-08
2,1,Brown,2025-02-08
2,3,157g,2025-02-08
2,2,Premium,2025-02-08
3,1,Blue,2025-02-08
3,3,500g,2025-02-08
3,2,Mid-range,2025-02-08
4,1,Black,2025-02-08
4,3,100g,2025-02-08
4,2,Budget,2025-02-08
5,1,White,2025-02-08
5,3,200g,2025-02-08
5,2,Mid-range,2025-02-08
6,1,Silver,2025-02-08
6,3,800g,2025-02-08
6,2,Premium,2025-02-08
7,1,Black,2025-02-08
7,3,1200g,2025-02-08
7,2,Premium,2025-02-08
8,1,Black,2025-02-08
8,3,300g,2025-02-08
8,2,Mid-range,2025-02-08
9,1,Black,2025-02-08
9,3,400g,2025-02-08
9,2,Mid-range,2025-02-08
10,1,Black,2025-02-08
10,3,120g,2025-02-08
10,2,Premium,2025-02-08
11,1,Black,2025-02-08
11,3,2000g,2025-02-08
11,2,Premium,2025-02-08
12,1,Black,2025-02-08
12,3,50g,2025-02-08
12,2,Mid-range,2025-02-08
13,1,Black,2025-02-08
13,3,300g,2025-02-08
13,2,Mid-range,2025-02-08
14,1,White,2025-02-08
14,3,800g,2025-02-08
14,2,Mid-range,2025-02-08
15,1,Silver,2025-02-08
15,3,100g,2025-02-08
15,2,Premium,2025-02-08
16,1,Black,2025-02-08
16,3,50g,2025-02-08
16,2,Mid-range,2025-02-08
17,1,Black,2025-02-08
17,3,200g,2025-02-08
17,2,Mid-range,2025-02-08
18,1,Black,2025-02-08
18,3,15000g,2025-02-08
18,2,Premium,2025-02-08
19,1,White,2025-02-08
19,3,500g,2025-02-08
19,2,Mid-range,2025-02-08
20,1,Silver,2025-02-08
20,3,200g,2025-02-08
20,2,Budget,2025-02-08
