item_id,attribute_id,value,partition_date
1,1,Black,2025-02-21
1,3,259g,2025-02-21
1,2,Mid-range,2025-02-21
2,1,Brown,2025-02-21
2,3,159g,2025-02-21
2,2,Premium,2025-02-21
3,1,Blue,2025-02-21
3,3,500g,2025-02-21
3,2,Mid-range,2025-02-21
4,1,Black,2025-02-21
4,3,100g,2025-02-21
4,2,Budget,2025-02-21
5,1,White,2025-02-21
5,3,200g,2025-02-21
5,2,Mid-range,2025-02-21
6,1,Silver,2025-02-21
6,3,800g,2025-02-21
6,2,Premium,2025-02-21
7,1,Black,2025-02-21
7,3,1200g,2025-02-21
7,2,Premium,2025-02-21
8,1,Black,2025-02-21
8,3,300g,2025-02-21
8,2,Mid-range,2025-02-21
9,1,Black,2025-02-21
9,3,400g,2025-02-21
9,2,Mid-range,2025-02-21
10,1,Black,2025-02-21
10,3,120g,2025-02-21
10,2,Premium,2025-02-21
11,1,Black,2025-02-21
11,3,2000g,2025-02-21
11,2,Premium,2025-02-21
12,1,Black,2025-02-21
12,3,50g,2025-02-21
12,2,Mid-range,2025-02-21
13,1,Black,2025-02-21
13,3,300g,2025-02-21
13,2,Mid-range,2025-02-21
14,1,White,2025-02-21
14,3,800g,2025-02-21
14,2,Mid-range,2025-02-21
15,1,Silver,2025-02-21
15,3,100g,2025-02-21
15,2,Premium,2025-02-21
16,1,Black,2025-02-21
16,3,50g,2025-02-21
16,2,Mid-range,2025-02-21
17,1,Black,2025-02-21
17,3,200g,2025-02-21
17,2,Mid-range,2025-02-21
18,1,Black,2025-02-21
18,3,15000g,2025-02-21
18,2,Premium,2025-02-21
19,1,White,2025-02-21
19,3,500g,2025-02-21
19,2,Mid-range,2025-02-21
20,1,Silver,2025-02-21
20,3,200g,2025-02-21
20,2,Budget,2025-02-21
