item_id,attribute_id,value,partition_date
1,1,Black,2025-02-20
1,3,259g,2025-02-20
1,2,Mid-range,2025-02-20
2,1,Brown,2025-02-20
2,3,159g,2025-02-20
2,2,Premium,2025-02-20
3,1,Blue,2025-02-20
3,3,500g,2025-02-20
3,2,Mid-range,2025-02-20
4,1,Black,2025-02-20
4,3,100g,2025-02-20
4,2,Budget,2025-02-20
5,1,White,2025-02-20
5,3,200g,2025-02-20
5,2,Mid-range,2025-02-20
6,1,Silver,2025-02-20
6,3,800g,2025-02-20
6,2,Premium,2025-02-20
7,1,Black,2025-02-20
7,3,1200g,2025-02-20
7,2,Premium,2025-02-20
8,1,Black,2025-02-20
8,3,300g,2025-02-20
8,2,Mid-range,2025-02-20
9,1,Black,2025-02-20
9,3,400g,2025-02-20
9,2,Mid-range,2025-02-20
10,1,Black,2025-02-20
10,3,120g,2025-02-20
10,2,Premium,2025-02-20
11,1,Black,2025-02-20
11,3,2000g,2025-02-20
11,2,Premium,2025-02-20
12,1,Black,2025-02-20
12,3,50g,2025-02-20
12,2,Mid-range,2025-02-20
13,1,Black,2025-02-20
13,3,300g,2025-02-20
13,2,Mid-range,2025-02-20
14,1,White,2025-02-20
14,3,800g,2025-02-20
14,2,Mid-range,2025-02-20
15,1,Silver,2025-02-20
15,3,100g,2025-02-20
15,2,Premium,2025-02-20
16,1,Black,2025-02-20
16,3,50g,2025-02-20
16,2,Mid-range,2025-02-20
17,1,Black,2025-02-20
17,3,200g,2025-02-20
17,2,Mid-range,2025-02-20
18,1,Black,2025-02-20
18,3,15000g,2025-02-20
18,2,Premium,2025-02-20
19,1,White,2025-02-20
19,3,500g,2025-02-20
19,2,Mid-range,2025-02-20
20,1,Silver,2025-02-20
20,3,200g,2025-02-20
20,2,Budget,2025-02-20
