item_id,attribute_id,value,partition_date
1,1,Black,2025-02-23
1,3,259g,2025-02-23
1,2,Mid-range,2025-02-23
2,1,Brown,2025-02-23
2,3,159g,2025-02-23
2,2,Premium,2025-02-23
3,1,Blue,2025-02-23
3,3,500g,2025-02-23
3,2,Mid-range,2025-02-23
4,1,Black,2025-02-23
4,3,100g,2025-02-23
4,2,Budget,2025-02-23
5,1,White,2025-02-23
5,3,200g,2025-02-23
5,2,Mid-range,2025-02-23
6,1,Silver,2025-02-23
6,3,800g,2025-02-23
6,2,Premium,2025-02-23
7,1,Black,2025-02-23
7,3,1200g,2025-02-23
7,2,Premium,2025-02-23
8,1,Black,2025-02-23
8,3,300g,2025-02-23
8,2,Mid-range,2025-02-23
9,1,Black,2025-02-23
9,3,400g,2025-02-23
9,2,Mid-range,2025-02-23
10,1,Black,2025-02-23
10,3,120g,2025-02-23
10,2,Premium,2025-02-23
11,1,Black,2025-02-23
11,3,2000g,2025-02-23
11,2,Premium,2025-02-23
12,1,Black,2025-02-23
12,3,50g,2025-02-23
12,2,Mid-range,2025-02-23
13,1,Black,2025-02-23
13,3,300g,2025-02-23
13,2,Mid-range,2025-02-23
14,1,White,2025-02-23
14,3,800g,2025-02-23
14,2,Mid-range,2025-02-23
15,1,Silver,2025-02-23
15,3,100g,2025-02-23
15,2,Premium,2025-02-23
16,1,Black,2025-02-23
16,3,50g,2025-02-23
16,2,Mid-range,2025-02-23
17,1,Black,2025-02-23
17,3,200g,2025-02-23
17,2,Mid-range,2025-02-23
18,1,Black,2025-02-23
18,3,15000g,2025-02-23
18,2,Premium,2025-02-23
19,1,White,2025-02-23
19,3,500g,2025-02-23
19,2,Mid-range,2025-02-23
20,1,Silver,2025-02-23
20,3,200g,2025-02-23
20,2,Budget,2025-02-23
