item_id,attribute_id,value,partition_date
1,1,Black,2025-02-03
1,3,255g,2025-02-03
1,2,Mid-range,2025-02-03
2,1,Brown,2025-02-03
2,3,153g,2025-02-03
2,2,Premium,2025-02-03
3,1,Blue,2025-02-03
3,3,500g,2025-02-03
3,2,Mid-range,2025-02-03
4,1,Black,2025-02-03
4,3,100g,2025-02-03
4,2,Budget,2025-02-03
5,1,White,2025-02-03
5,3,200g,2025-02-03
5,2,Mid-range,2025-02-03
6,1,Silver,2025-02-03
6,3,800g,2025-02-03
6,2,Premium,2025-02-03
7,1,Black,2025-02-03
7,3,1200g,2025-02-03
7,2,Premium,2025-02-03
8,1,Black,2025-02-03
8,3,300g,2025-02-03
8,2,Mid-range,2025-02-03
9,1,Black,2025-02-03
9,3,400g,2025-02-03
9,2,Mid-range,2025-02-03
10,1,Black,2025-02-03
10,3,120g,2025-02-03
10,2,Premium,2025-02-03
11,1,Black,2025-02-03
11,3,2000g,2025-02-03
11,2,Premium,2025-02-03
12,1,Black,2025-02-03
12,3,50g,2025-02-03
12,2,Mid-range,2025-02-03
13,1,Black,2025-02-03
13,3,300g,2025-02-03
13,2,Mid-range,2025-02-03
14,1,White,2025-02-03
14,3,800g,2025-02-03
14,2,Mid-range,2025-02-03
15,1,Silver,2025-02-03
15,3,100g,2025-02-03
15,2,Premium,2025-02-03
16,1,Black,2025-02-03
16,3,50g,2025-02-03
16,2,Mid-range,2025-02-03
17,1,Black,2025-02-03
17,3,200g,2025-02-03
17,2,Mid-range,2025-02-03
18,1,Black,2025-02-03
18,3,15000g,2025-02-03
18,2,Premium,2025-02-03
19,1,White,2025-02-03
19,3,500g,2025-02-03
19,2,Mid-range,2025-02-03
20,1,Silver,2025-02-03
20,3,200g,2025-02-03
20,2,Budget,2025-02-03
