item_id,attribute_id,value,partition_date
1,1,Black,2025-02-04
1,3,255g,2025-02-04
1,2,Mid-range,2025-02-04
2,1,Brown,2025-02-04
2,3,153g,2025-02-04
2,2,Premium,2025-02-04
3,1,Blue,2025-02-04
3,3,500g,2025-02-04
3,2,Mid-range,2025-02-04
4,1,Black,2025-02-04
4,3,100g,2025-02-04
4,2,Budget,2025-02-04
5,1,White,2025-02-04
5,3,200g,2025-02-04
5,2,Mid-range,2025-02-04
6,1,Silver,2025-02-04
6,3,800g,2025-02-04
6,2,Premium,2025-02-04
7,1,Black,2025-02-04
7,3,1200g,2025-02-04
7,2,Premium,2025-02-04
8,1,Black,2025-02-04
8,3,300g,2025-02-04
8,2,Mid-range,2025-02-04
9,1,Black,2025-02-04
9,3,400g,2025-02-04
9,2,Mid-range,2025-02-04
10,1,Black,2025-02-04
10,3,120g,2025-02-04
10,2,Premium,2025-02-04
11,1,Black,2025-02-04
11,3,2000g,2025-02-04
11,2,Premium,2025-02-04
12,1,Black,2025-02-04
12,3,50g,2025-02-04
12,2,Mid-range,2025-02-04
13,1,Black,2025-02-04
13,3,300g,2025-02-04
13,2,Mid-range,2025-02-04
14,1,White,2025-02-04
14,3,800g,2025-02-04
14,2,Mid-range,2025-02-04
15,1,Silver,2025-02-04
15,3,100g,2025-02-04
15,2,Premium,2025-02-04
16,1,Black,2025-02-04
16,3,50g,2025-02-04
16,2,Mid-range,2025-02-04
17,1,Black,2025-02-04
17,3,200g,2025-02-04
17,2,Mid-range,2025-02-04
18,1,Black,2025-02-04
18,3,15000g,2025-02-04
18,2,Premium,2025-02-04
19,1,White,2025-02-04
19,3,500g,2025-02-04
19,2,Mid-range,2025-02-04
20,1,Silver,2025-02-04
20,3,200g,2025-02-04
20,2,Budget,2025-02-04
