item_id,attribute_id,value,partition_date
1,1,Black,2025-02-09
1,3,257g,2025-02-09
1,2,Mid-range,2025-02-09
2,1,Brown,2025-02-09
2,3,157g,2025-02-09
2,2,Premium,2025-02-09
3,1,Blue,2025-02-09
3,3,500g,2025-02-09
3,2,Mid-range,2025-02-09
4,1,Black,2025-02-09
4,3,100g,2025-02-09
4,2,Budget,2025-02-09
5,1,White,2025-02-09
5,3,200g,2025-02-09
5,2,Mid-range,2025-02-09
6,1,Silver,2025-02-09
6,3,800g,2025-02-09
6,2,Premium,2025-02-09
7,1,Black,2025-02-09
7,3,1200g,2025-02-09
7,2,Premium,2025-02-09
8,1,Black,2025-02-09
8,3,300g,2025-02-09
8,2,Mid-range,2025-02-09
9,1,Black,2025-02-09
9,3,400g,2025-02-09
9,2,Mid-range,2025-02-09
10,1,Black,2025-02-09
10,3,120g,2025-02-09
10,2,Premium,2025-02-09
11,1,Black,2025-02-09
11,3,2000g,2025-02-09
11,2,Premium,2025-02-09
12,1,Black,2025-02-09
12,3,50g,2025-02-09
12,2,Mid-range,2025-02-09
13,1,Black,2025-02-09
13,3,300g,2025-02-09
13,2,Mid-range,2025-02-09
14,1,White,2025-02-09
14,3,800g,2025-02-09
14,2,Mid-range,2025-02-09
15,1,Silver,2025-02-09
15,3,100g,2025-02-09
15,2,Premium,2025-02-09
16,1,Black,2025-02-09
16,3,50g,2025-02-09
16,2,Mid-range,2025-02-09
17,1,Black,2025-02-09
17,3,200g,2025-02-09
17,2,Mid-range,2025-02-09
18,1,Black,2025-02-09
18,3,15000g,2025-02-09
18,2,Premium,2025-02-09
19,1,White,2025-02-09
19,3,500g,2025-02-09
19,2,Mid-range,2025-02-09
20,1,Silver,2025-02-09
20,3,200g,2025-02-09
20,2,Budget,2025-02-09
