item_id,attribute_id,value,partition_date
1,1,Black,2025-02-22
1,3,259g,2025-02-22
1,2,Mid-range,2025-02-22
2,1,Brown,2025-02-22
2,3,159g,2025-02-22
2,2,Premium,2025-02-22
3,1,Blue,2025-02-22
3,3,500g,2025-02-22
3,2,Mid-range,2025-02-22
4,1,Black,2025-02-22
4,3,100g,2025-02-22
4,2,Budget,2025-02-22
5,1,White,2025-02-22
5,3,200g,2025-02-22
5,2,Mid-range,2025-02-22
6,1,Silver,2025-02-22
6,3,800g,2025-02-22
6,2,Premium,2025-02-22
7,1,Black,2025-02-22
7,3,1200g,2025-02-22
7,2,Premium,2025-02-22
8,1,Black,2025-02-22
8,3,300g,2025-02-22
8,2,Mid-range,2025-02-22
9,1,Black,2025-02-22
9,3,400g,2025-02-22
9,2,Mid-range,2025-02-22
10,1,Black,2025-02-22
10,3,120g,2025-02-22
10,2,Premium,2025-02-22
11,1,Black,2025-02-22
11,3,2000g,2025-02-22
11,2,Premium,2025-02-22
12,1,Black,2025-02-22
12,3,50g,2025-02-22
12,2,Mid-range,2025-02-22
13,1,Black,2025-02-22
13,3,300g,2025-02-22
13,2,Mid-range,2025-02-22
14,1,White,2025-02-22
14,3,800g,2025-02-22
14,2,Mid-range,2025-02-22
15,1,Silver,2025-02-22
15,3,100g,2025-02-22
15,2,Premium,2025-02-22
16,1,Black,2025-02-22
16,3,50g,2025-02-22
16,2,Mid-range,2025-02-22
17,1,Black,2025-02-22
17,3,200g,2025-02-22
17,2,Mid-range,2025-02-22
18,1,Black,2025-02-22
18,3,15000g,2025-02-22
18,2,Premium,2025-02-22
19,1,White,2025-02-22
19,3,500g,2025-02-22
19,2,Mid-range,2025-02-22
20,1,Silver,2025-02-22
20,3,200g,2025-02-22
20,2,Budget,2025-02-22
