item_id,attribute_id,value,partition_date
1,1,Black,2025-02-02
1,3,255g,2025-02-02
1,2,Mid-range,2025-02-02
2,1,Brown,2025-02-02
2,3,153g,2025-02-02
2,2,Premium,2025-02-02
3,1,Blue,2025-02-02
3,3,500g,2025-02-02
3,2,Mid-range,2025-02-02
4,1,Black,2025-02-02
4,3,100g,2025-02-02
4,2,Budget,2025-02-02
5,1,White,2025-02-02
5,3,200g,2025-02-02
5,2,Mid-range,2025-02-02
6,1,Silver,2025-02-02
6,3,800g,2025-02-02
6,2,Premium,2025-02-02
7,1,Black,2025-02-02
7,3,1200g,2025-02-02
7,2,Premium,2025-02-02
8,1,Black,2025-02-02
8,3,300g,2025-02-02
8,2,Mid-range,2025-02-02
9,1,Black,2025-02-02
9,3,400g,2025-02-02
9,2,Mid-range,2025-02-02
10,1,Black,2025-02-02
10,3,120g,2025-02-02
10,2,Premium,2025-02-02
11,1,Black,2025-02-02
11,3,2000g,2025-02-02
11,2,Premium,2025-02-02
12,1,Black,2025-02-02
12,3,50g,2025-02-02
12,2,Mid-range,2025-02-02
13,1,Black,2025-02-02
13,3,300g,2025-02-02
13,2,Mid-range,2025-02-02
14,1,White,2025-02-02
14,3,800g,2025-02-02
14,2,Mid-range,2025-02-02
15,1,Silver,2025-02-02
15,3,100g,2025-02-02
15,2,Premium,2025-02-02
16,1,Black,2025-02-02
16,3,50g,2025-02-02
16,2,Mid-range,2025-02-02
17,1,Black,2025-02-02
17,3,200g,2025-02-02
17,2,Mid-range,2025-02-02
18,1,Black,2025-02-02
18,3,15000g,2025-02-02
18,2,Premium,2025-02-02
19,1,White,2025-02-02
19,3,500g,2025-02-02
19,2,Mid-range,2025-02-02
20,1,Silver,2025-02-02
20,3,200g,2025-02-02
20,2,Budget,2025-02-02
