item_id,attribute_id,value,partition_date
1,1,Black,2025-02-24
1,3,261g,2025-02-24
1,2,Mid-range,2025-02-24
2,1,Brown,2025-02-24
2,3,159g,2025-02-24
2,2,Premium,2025-02-24
3,1,Blue,2025-02-24
3,3,500g,2025-02-24
3,2,Mid-range,2025-02-24
4,1,Black,2025-02-24
4,3,100g,2025-02-24
4,2,Budget,2025-02-24
5,1,White,2025-02-24
5,3,200g,2025-02-24
5,2,Mid-range,2025-02-24
6,1,Silver,2025-02-24
6,3,800g,2025-02-24
6,2,Premium,2025-02-24
7,1,Black,2025-02-24
7,3,1200g,2025-02-24
7,2,Premium,2025-02-24
8,1,Black,2025-02-24
8,3,300g,2025-02-24
8,2,Mid-range,2025-02-24
9,1,Black,2025-02-24
9,3,400g,2025-02-24
9,2,Mid-range,2025-02-24
10,1,Black,2025-02-24
10,3,120g,2025-02-24
10,2,Premium,2025-02-24
11,1,Black,2025-02-24
11,3,2000g,2025-02-24
11,2,Premium,2025-02-24
12,1,Black,2025-02-24
12,3,50g,2025-02-24
12,2,Mid-range,2025-02-24
13,1,Black,2025-02-24
13,3,300g,2025-02-24
13,2,Mid-range,2025-02-24
14,1,White,2025-02-24
14,3,800g,2025-02-24
14,2,Mid-range,2025-02-24
15,1,Silver,2025-02-24
15,3,100g,2025-02-24
15,2,Premium,2025-02-24
16,1,Black,2025-02-24
16,3,50g,2025-02-24
16,2,Mid-range,2025-02-24
17,1,Black,2025-02-24
17,3,200g,2025-02-24
17,2,Mid-range,2025-02-24
18,1,Black,2025-02-24
18,3,15000g,2025-02-24
18,2,Premium,2025-02-24
19,1,White,2025-02-24
19,3,500g,2025-02-24
19,2,Mid-range,2025-02-24
20,1,Silver,2025-02-24
20,3,200g,2025-02-24
20,2,Budget,2025-02-24
