item_id,attribute_id,value,partition_date
1,1,Black,2025-02-06
1,3,257g,2025-02-06
1,2,Mid-range,2025-02-06
2,1,Brown,2025-02-06
2,3,157g,2025-02-06
2,2,Premium,2025-02-06
3,1,Blue,2025-02-06
3,3,500g,2025-02-06
3,2,Mid-range,2025-02-06
4,1,Black,2025-02-06
4,3,100g,2025-02-06
4,2,Budget,2025-02-06
5,1,White,2025-02-06
5,3,200g,2025-02-06
5,2,Mid-range,2025-02-06
6,1,Silver,2025-02-06
6,3,800g,2025-02-06
6,2,Premium,2025-02-06
7,1,Black,2025-02-06
7,3,1200g,2025-02-06
7,2,Premium,2025-02-06
8,1,Black,2025-02-06
8,3,300g,2025-02-06
8,2,Mid-range,2025-02-06
9,1,Black,2025-02-06
9,3,400g,2025-02-06
9,2,Mid-range,2025-02-06
10,1,Black,2025-02-06
10,3,120g,2025-02-06
10,2,Premium,2025-02-06
11,1,Black,2025-02-06
11,3,2000g,2025-02-06
11,2,Premium,2025-02-06
12,1,Black,2025-02-06
12,3,50g,2025-02-06
12,2,Mid-range,2025-02-06
13,1,Black,2025-02-06
13,3,300g,2025-02-06
13,2,Mid-range,2025-02-06
14,1,White,2025-02-06
14,3,800g,2025-02-06
14,2,Mid-range,2025-02-06
15,1,Silver,2025-02-06
15,3,100g,2025-02-06
15,2,Premium,2025-02-06
16,1,Black,2025-02-06
16,3,50g,2025-02-06
16,2,Mid-range,2025-02-06
17,1,Black,2025-02-06
17,3,200g,2025-02-06
17,2,Mid-range,2025-02-06
18,1,Black,2025-02-06
18,3,15000g,2025-02-06
18,2,Premium,2025-02-06
19,1,White,2025-02-06
19,3,500g,2025-02-06
19,2,Mid-range,2025-02-06
20,1,Silver,2025-02-06
20,3,200g,2025-02-06
20,2,Budget,2025-02-06
